id;cantidad_uds;precio_uds_compra;sub_total;iva;total;fecha_vencimiento;lote
1;15288;48868;82742;37107;21536;2021-08-31;Street
2;48033;20507;44654;84645;23430;2021-08-31;Cook 24/365 Beauty
3;17740;46586;9979;73378;69221;2021-08-31;Eritrea dot-com Strategist
4;67802;49087;64268;79065;25590;2021-08-30;implementation Senior
5;94879;72107;88443;46091;76645;2021-08-31;Global Usability
6;52873;55784;20674;43173;63752;2021-08-31;Fresh
7;4539;96402;61401;65692;8261;2021-08-31;sensor
8;10471;22966;90391;32368;95555;2021-08-30;Japan synergistic
9;23231;17901;79700;46773;39055;2021-08-31;Web Monitored HDD
10;23699;90341;86840;93519;41684;2021-08-30;pink Fantastic forecast
