id;nombre_producto;cantidad;iva;precio_uds_venta;margen_de_ganancia;invima
1;budgetary;22191;90204;20001;77166;concept Buckinghamshire gold
2;online;98594;85865;14379;61378;Fresh
3;SDD;19378;63073;19082;34838;sensor Future
4;Hat African;88711;94847;78123;78708;Small
5;back-end Hat Verde;44003;35658;76382;67494;microchip compress ROI
6;Croatia SSL;57643;28242;73188;78283;synthesizing Hollow
7;innovative Assurance;44740;92525;63316;36047;Utah
8;Implementation connect;30693;18297;78204;3519;neural
9;state Tasty Buckinghamshire;43364;1151;79849;36237;copying
10;Hat optimize Rupee;59236;86081;96268;29591;program e-markets deposit
