id;nombre;primer_telefono;segundo_telefono
1;connecting Chips;methodologies Yemeni;Metal
2;Buckinghamshire challenge;Wisconsin Human system;Wisconsin aggregate
3;bricks-and-clicks;open-source Route quantify;payment Mountain
4;blue;Coordinator extranet payment;user-centric Division user
5;overriding e-business;Tasty;Trinidad Mouse Dollar
6;Darussalam Metal;methodologies strategic;Fantastic
7;Forward turquoise GB;XML modular;input Fresh
8;National Chicken parse;UIC-Franc;invoice
9;ROI Designer Djibouti;Jewelery Legacy;Liaison SDD Architect
10;paradigms Licensed Fresh;Executive Strategist;Metal
